Ball No. 35 (Tilak Shape)	103
Ball No. 33 (Oval Shape)	38
Ball No. 34	98
Ball No. 32 (Oval Shape)	100
Ball No. 6 (Chapta Shape)	90
Ball No. 4 (Chapta Shape)	185
Ball No. 5 (Square Shape)	70
Ball No. 7 (Flower Shape)	186
Ball No. 9 (Rectangle Shape)	93
Ball No. 8 (Round Shape)	6
Ball no. 3 (Plain)	25
Ball no. 1 (Plain)	96
Ball No. 22 (Fold Tilak Shape)	162
Ball No. 21 (Fold Oval Shape)	176
Ball no. 23 (Fuse Tar Ball)	150
Ball no. 10 (Medium)	203
Ball no. 11 (Small)	206
Ball no. 12 (Big)	133
Ball no. 15 (BIG)	166
Ball no. 13 (Medium)	276
Ball no. 14 (Small)	252
Ball no. 18 (Big)	158
Ball no. 17 (Medium)	67
Ball no. 2 (Plain)	1685
Ball no. 16 (Small)	311
Ball no. 36 Para Ball (Oval Shape)	50
Ball no. 37 Para Ball	52
Ball no. 39 (Round Shape)	111
Ball no. 40 (Round Chapta Shape)	122
Ball no. 41 (Pati Chapta Shape)	156
Ball no. 42 (Flower Shape)	49
Ball no. 43 (Flower Ring Shape)	41
Ball no. 38 Para Ball (Half Round Shape)	41
Ball no. 19 Para	445
Boll no. 20 (Design Rd Para New)	395	200.28g
Ball no. 20 (Design Rd Para Cast) Dye No. 53	167
Ball no. 24 Para Ball (Round Shape)	8
Ball no. 26 Para Ball (Tilok Shape)	55
Ball no. 25 Para Ball Big (Half Round Shape)	58
Ball no. 28 Para Ball Small (Tilak Shape)	28
Ball no. 29 Para Ball Small (Round Shape)	38
Ball no. 27 Para Ball (Mq Shape)	51
Pati No. 5 (Leaf Shape)	20
Pati No. 1 (Flower Shape)	36
Pati No. 2 (Patta Shape)	19
Pati No. 3 (Flower Shape)	13
Pati No. 4 (Square Shape)	2
Pati No. 6 (Patta Shape)	4
Pati No. 7 (Flower Shape)	553
Ball no. 31 Para Ball (Half Round Shape)	8
Ball no. 30 Para Ball (Half Round Shape)	9
Fuse Tar Fitting		296.55g
Tachni	403
Chaki	202
Patti Rectangle Mala	102
Big Patti Rectangle Mala (U Shape)	89
